latitude,longitude,title,category
36.0726549,140.118073,"鳥吉本店",1
36.0635993,140.1193436,"豚さま",2
36.0783587,140.1124129,"寿司処やぐら",2
36.0559419,140.1052194,"手打ちうどん やまびこ弁天",3
